dataset,type,label,value,max_value,notes
method_status,count,Completed defensible methods,3,7,"Expert/self evaluation, cognitive walkthrough/heuristic evaluation, simulated user focus group."
method_status,count,Ready-to-field methods,4,7,"Actual user focus group/interview, low-fidelity usability, survey, high-fidelity usability."
persona_average,rating,Ease,3.4,5,"Average across 10 simulated proxy personas."
persona_average,rating,Confidence,2.9,5,"Average across 10 simulated proxy personas."
persona_average,rating,Transparency,2.5,5,"Average across 10 simulated proxy personas."
theme_count,count,Settings lock felt reassuring,10,10,"All simulated personas viewed the active-agent settings lock positively."
theme_count,count,Clearer paper-only messaging needed,10,10,"All simulated personas wanted paper-only/no live-orders labels closer to risky-feeling actions."
theme_count,count,Validation evidence should be visible in UI,9,10,"Most simulated personas wanted strategy evidence on cards or in an evidence drawer."
theme_count,count,Quant terms or strategy names unclear,8,10,"Most simulated personas found at least one term unclear."
theme_count,count,Freshness or health indicators needed,7,10,"Seven simulated personas wanted latest data, heartbeat, API, or stale-state status."
theme_count,count,Trade rationale drilldowns needed,6,10,"Six simulated personas wanted clearer explanations for trades and allocation changes."
priority,score,Add paper-only labels near Launch/P&L/backtest,10,10,"Highest priority because it protects user understanding and trust."
priority,score,Add evidence-aware strategy cards/drawer,9,10,"Expose Promote, DSR, PBO, benchmark, OOS trades, costs, and report path."
priority,score,Add term tooltips and beginner explanations,8,10,"Explain Sharpe, Max DD, PBO, DSR, active sleeve, regime, LGBM, h63, leverage, stops."
priority,score,Add freshness and health metadata,7,10,"Show latest bar date, last portfolio snapshot, last agent evaluation, active run ID, heartbeat, stream status."
priority,score,Add trade audit drawer,6,10,"Show strategy trigger, target weight change, previous/current position, simulated fill, timestamp, related alert."
